"Date","Close","Dividends"
"2014-12-31",62.40196991,0
"2015-01-30",59.00680161,0
"2015-02-27",60.21261978,0.69
"2015-03-31",57.80518723,0
"2015-04-30",59.4169426,0
"2015-05-29",58.42043686,0.73
"2015-06-30",57.04908371,0
"2015-07-31",54.31319046,0
"2015-08-31",52.07372665,0.73
"2015-09-30",51.45776367,0
"2015-10-30",57.26448441,0
"2015-11-30",57.0097084,0.73
"2015-12-31",54.41962051,0
"2016-01-29",54.34980392,0
"2016-02-29",56.46337891,0.73
"2016-03-31",58.88676071,0
"2016-04-29",62.27527618,0
"2016-05-31",63.23908997,0.75
"2016-06-30",66.59214783,0
"2016-07-29",63.18936539,0
"2016-08-31",62.4314537,0.75
"2016-09-30",62.53175735,0
"2016-10-31",59.69462204,0
"2016-11-30",63.09991074,0.75
"2016-12-30",65.23937988,0
"2017-01-31",60.63519287,0
"2017-02-28",59.31508636,0.75
"2017-03-31",59.81834793,0
"2017-04-28",59.5557785,0
"2017-05-31",59.27143478,0.77
"2017-06-30",59.44081116,0
"2017-07-31",58.93274689,0
"2017-08-31",56.74585724,0.77
"2017-09-29",60.94622421,0
"2017-10-31",61.96471405,0
"2017-11-30",62.49316788,0.77
"2017-12-29",62.75577927,0
