"Date","Close","Dividends"
"2014-12-31",14.82733345,0
"2015-01-30",13.57333279,0
"2015-02-27",13.55599976,0
"2015-03-31",12.58466721,0
"2015-04-30",15.06999969,0
"2015-05-29",16.71999931,0
"2015-06-30",17.88400078,0
"2015-07-31",17.74333382,0
"2015-08-31",16.60400009,0
"2015-09-30",16.55999947,0
"2015-10-30",13.79533291,0
"2015-11-30",15.350667,0
"2015-12-31",16.00066757,0
"2016-01-29",12.74666691,0
"2016-02-29",12.79533291,0
"2016-03-31",15.31799984,0
"2016-04-29",16.05066681,0
"2016-05-31",14.88199997,0
"2016-06-30",14.15200043,0
"2016-07-29",15.65266705,0
"2016-08-31",14.13399982,0
"2016-09-30",13.60200024,0
"2016-10-31",13.18200016,0
"2016-11-30",12.62666702,0
"2016-12-30",14.24600029,0
"2017-01-31",16.79533386,0
"2017-02-28",16.66600037,0
"2017-03-31",18.55333328,0
"2017-04-28",20.93799973,0
"2017-05-31",22.73399925,0
"2017-06-30",24.10733223,0
"2017-07-31",21.56466675,0
"2017-08-31",23.7266674,0
"2017-09-29",22.73999977,0
"2017-10-31",22.10199928,0
"2017-11-30",20.59000015,0
"2017-12-29",20.75666618,0
