"room_type","reviews","overall_satisfaction","accommodates","bedrooms","price"
"Private room",203,5,2,1,54
"Private room",19,5,2,1,43
"Private room",106,5,2,1,87
"Private room",37,5,2,1,34
"Private room",64,5,4,1,76
"Private room",108,5,1,1,41
"Private room",160,5,2,1,41
"Private room",95,5,1,1,72
"Private room",63,5,3,1,71
"Private room",64,5,2,1,34
"Private room",73,5,2,1,63
"Private room",12,5,2,1,56
"Private room",64,5,2,1,39
"Private room",602,4.5,2,1,70
"Private room",5,5,2,1,54
"Private room",12,5,2,1,74
"Private room",0,0,2,1,43
"Private room",15,5,2,1,60
"Private room",13,5,2,1,54
"Private room",125,5,2,1,90
"Private room",172,5,2,1,65
"Private room",78,5,6,1,71
"Private room",140,5,2,1,91
"Private room",42,5,2,1,65
"Private room",53,5,2,1,74
"Private room",26,5,2,1,69
"Private room",78,5,5,1,66
"Private room",6,5,2,1,70
"Private room",24,5,2,1,59
"Private room",0,0,4,1,76
"Private room",32,5,2,1,73
"Private room",64,5,2,1,83
"Private room",0,0,2,0,60
"Private room",3,5,2,1,88
"Private room",62,5,2,1,86
"Private room",59,5,2,1,112
"Private room",175,5,2,1,49
"Private room",35,5,2,1,83
"Private room",12,5,2,1,77
"Private room",12,5,2,1,93
"Private room",24,5,2,1,58
"Private room",430,5,2,1,71
"Private room",45,5,2,1,117
"Private room",158,5,2,1,51
"Private room",21,5,2,1,79
"Private room",294,5,2,1,60
"Private room",84,5,2,1,100
"Private room",69,5,2,1,86
"Private room",21,5,2,1,54
"Private room",192,5,2,1,89
"Private room",48,5,4,1,65
"Private room",97,5,2,1,85
"Private room",28,4.5,2,1,58
"Private room",28,5,2,1,70
"Private room",18,4.5,2,1,69
"Private room",17,5,2,1,54
"Private room",0,0,3,1,58
"Private room",2,0,2,1,72
"Private room",36,5,1,1,50
"Private room",20,4.5,2,1,35
"Private room",0,0,1,1,29
"Private room",26,5,3,1,42
"Private room",4,5,2,1,40
"Private room",160,5,2,1,33
"Private room",47,5,2,1,39
"Private room",5,4,2,1,32
"Private room",0,0,3,1,37
"Private room",93,5,2,1,27
"Private room",28,4.5,2,1,37
"Private room",1,0,2,1,31
"Private room",7,4.5,2,1,37
"Private room",10,5,2,1,30
"Private room",1,0,4,1,37
"Private room",4,5,2,1,60
"Private room",124,5,2,1,37
"Private room",30,5,2,1,43
"Private room",75,5,1,1,30
"Private room",89,5,3,1,28
"Private room",17,5,1,1,47
"Private room",24,5,3,1,32
"Private room",12,5,2,1,48
"Private room",121,5,2,1,30
"Private room",101,5,2,1,31
"Private room",99,5,1,1,43
"Private room",5,5,2,1,36
"Private room",31,5,2,1,37
