"room_type","reviews","overall_satisfaction","accommodates","bedrooms","price"
"Entire home/apt",262,5,4,2,284
"Entire home/apt",11,4.5,4,2,163
"Entire home/apt",7,4.5,4,2,308
"Entire home/apt",67,5,10,2,223
"Entire home/apt",14,4.5,6,2,177
"Entire home/apt",15,4.5,4,2,175
"Entire home/apt",2,0,6,2,153
"Entire home/apt",4,5,2,1,302
"Entire home/apt",1,0,4,2,246
"Entire home/apt",34,5,5,2,195
"Entire home/apt",9,4.5,4,1,212
"Entire home/apt",30,5,8,2,292
"Entire home/apt",44,5,4,2,265
"Entire home/apt",180,5,2,0,149
"Entire home/apt",30,5,2,1,189
"Entire home/apt",21,4.5,6,2,174
"Entire home/apt",82,5,5,2,152
"Entire home/apt",17,5,4,2,163
"Entire home/apt",25,5,8,3,201
"Entire home/apt",0,0,6,2,228
"Entire home/apt",13,5,9,3,299
"Entire home/apt",9,5,4,2,230
"Entire home/apt",7,4.5,11,3,188
"Entire home/apt",15,5,6,3,191
"Entire home/apt",8,5,6,2,190
"Entire home/apt",97,5,4,0,181
"Entire home/apt",87,5,4,1,193
"Entire home/apt",1,0,2,1,221
"Entire home/apt",78,5,4,2,168
"Entire home/apt",72,5,2,1,197
"Entire home/apt",72,5,2,0,256
"Entire home/apt",11,5,2,1,159
"Entire home/apt",10,5,6,2,187
"Entire home/apt",21,4.5,4,2,189
"Entire home/apt",91,5,6,2,187
"Entire home/apt",19,5,8,3,239
"Entire home/apt",44,5,6,2,180
"Entire home/apt",41,5,4,2,153
"Entire home/apt",16,5,3,1,194
"Entire home/apt",5,5,4,1,185
"Entire home/apt",1,0,4,2,158
"Entire home/apt",42,5,3,1,177
"Entire home/apt",14,5,2,1,212
"Entire home/apt",60,5,4,1,134
"Entire home/apt",3,4.5,4,2,193
"Entire home/apt",67,4.5,6,3,161
"Entire home/apt",12,5,8,3,186
"Entire home/apt",38,5,4,2,226
"Entire home/apt",40,5,2,1,171
"Entire home/apt",157,5,4,1,119
"Entire home/apt",56,4.5,4,2,207
"Entire home/apt",35,5,6,2,161
"Entire home/apt",162,5,8,3,160
"Entire home/apt",71,5,4,2,115
"Entire home/apt",19,5,2,1,131
"Entire home/apt",43,5,6,3,189
"Entire home/apt",32,5,2,1,220
"Entire home/apt",61,5,5,2,204
